År,Måned,Dag,Tid,Volum totalt,Lufttemperatur,Relativ luftfuktighet,Lufttrykk
2015,12,19,1,62,9.3,95.0,995.1
2015,12,19,2,57,9.2,95.0,995.1
2015,12,19,3,47,9.1,95.0,994.8
2015,12,19,4,33,9.1,96.0,994.6
2015,12,19,5,52,9.1,96.0,994.6
2015,12,19,6,48,9.2,96.0,994.5
2015,12,19,7,76,9.2,96.0,994.1
2015,12,19,8,115,10.1,95.0,993.8
2015,12,19,9,163,10.0,92.0,993.8
2015,12,19,10,288,10.0,91.0,994.1
2015,12,19,11,346,9.8,93.0,993.1
2015,12,19,12,331,10.1,92.0,992.8
2015,12,19,13,419,10.4,93.0,990.9
2015,12,19,14,390,10.5,92.0,991.4
2015,12,19,15,306,11.4,93.0,991.3
2015,12,19,16,312,11.5,93.0,991.8
2015,12,19,17,279,11.7,90.0,992.3
2015,12,19,18,289,12.1,87.0,991.8
2015,12,19,19,190,11.7,88.0,992.1
2015,12,19,20,150,11.9,85.0,992.3
2015,12,19,21,113,11.8,86.0,991.8
2015,12,19,22,112,11.7,85.0,991.9
2015,12,19,23,105,11.7,85.0,990.8
2015,12,20,0,116,11.0,91.0,990.4
2015,12,20,1,74,10.8,93.0,989.8
2015,12,20,2,81,10.7,93.0,989.8
2015,12,20,3,75,10.4,93.0,989.4
2015,12,20,4,46,10.3,93.0,989.1
2015,12,20,5,35,10.2,93.0,988.7
2015,12,20,6,38,9.9,94.0,987.6
2015,12,20,7,40,9.8,94.0,986.2
2015,12,20,8,68,9.6,94.0,986.0
2015,12,20,9,138,9.4,94.0,985.9
2015,12,20,10,189,9.5,94.0,985.0
2015,12,20,11,298,9.5,94.0,985.2
2015,12,20,12,320,9.0,93.0,986.4
2015,12,20,13,416,8.9,93.0,987.1
2015,12,20,14,385,9.3,93.0,987.4
2015,12,20,15,344,9.5,86.0,988.4
2015,12,20,16,260,9.3,84.0,987.9
2015,12,20,17,239,9.0,86.0,987.6
2015,12,20,18,307,8.5,86.0,986.6
2015,12,20,19,288,7.1,85.0,986.4
2015,12,20,20,219,8.1,88.0,985.9
2015,12,20,21,122,7.9,90.0,986.2
2015,12,20,22,109,9.2,85.0,986.6
2015,12,20,23,60,9.2,85.0,986.9
2015,12,21,0,40,9.3,82.0,986.7
2015,12,21,1,25,9.3,81.0,986.9
2015,12,21,2,23,9.3,81.0,986.7
2015,12,21,3,25,9.3,81.0,987.1
2015,12,21,4,52,9.3,81.0,986.9
2015,12,21,5,197,9.2,82.0,987.2
2015,12,21,6,439,9.0,81.0,987.2
2015,12,21,7,549,9.1,82.0,987.4
2015,12,21,8,388,9.1,79.0,987.9
2015,12,21,9,461,7.7,80.0,988.7
2015,12,21,10,539,8.5,78.0,988.9
2015,12,21,11,539,8.7,78.0,988.9
2015,12,21,12,635,8.6,77.0,988.6
2015,12,21,13,685,8.4,78.0,987.9
2015,12,21,14,808,8.3,79.0,987.4
2015,12,21,15,781,8.1,82.0,986.7
2015,12,21,16,479,7.5,79.0,986.0
2015,12,21,17,361,6.5,89.0,985.2
2015,12,21,18,369,6.9,88.0,984.5
2015,12,21,19,310,6.7,81.0,984.2
2015,12,21,20,234,5.8,86.0,983.9
2015,12,21,21,163,5.4,88.0,983.9
2015,12,21,22,128,5.5,90.0,984.4
2015,12,21,23,57,6.4,89.0,985.4
2015,12,22,0,44,8.1,75.0,987.4
2015,12,22,1,22,8.0,71.0,989.2
2015,12,22,2,34,8.1,71.0,990.6
2015,12,22,3,20,7.2,74.0,991.3
2015,12,22,4,28,6.5,76.0,991.3
2015,12,22,5,144,7.0,80.0,991.6
2015,12,22,6,397,7.5,77.0,991.9
2015,12,22,7,520,6.2,81.0,991.8
2015,12,22,8,423,6.7,84.0,990.4
2015,12,22,9,482,7.1,81.0,989.1
2015,12,22,10,518,7.7,75.0,987.1
2015,12,22,11,509,7.3,78.0,985.5
2015,12,22,12,565,6.5,85.0,982.5
2015,12,22,13,635,7.1,89.0,981.5
2015,12,22,14,744,8.7,91.0,981.2
2015,12,22,15,540,8.1,83.0,982.7
2015,12,22,16,375,8.6,83.0,984.0
2015,12,22,17,278,9.0,80.0,985.2
2015,12,22,18,312,8.6,77.0,985.9
2015,12,22,19,278,7.9,80.0,986.7
2015,12,22,20,191,8.0,80.0,987.1
2015,12,22,21,138,8.4,78.0,987.4
2015,12,22,22,104,8.5,78.0,987.7
2015,12,22,23,57,8.4,78.0,987.9
2015,12,23,0,37,8.4,75.0,988.1
2015,12,23,1,45,8.4,74.0,987.9
2015,12,23,2,36,8.3,70.0,987.9
2015,12,23,3,25,8.1,78.0,987.7
2015,12,23,4,35,8.4,78.0,987.1
2015,12,23,5,112,8.2,80.0,986.4
2015,12,23,6,291,7.4,83.0,986.0
2015,12,23,7,292,7.4,78.0,985.5
2015,12,23,8,276,7.6,83.0,985.4
2015,12,23,9,356,7.5,82.0,985.9
2015,12,23,10,397,7.9,80.0,987.1
2015,12,23,11,492,7.9,75.0,987.7
2015,12,23,12,536,8.1,67.0,988.7
2015,12,23,13,534,8.1,67.0,989.4
2015,12,23,14,529,6.5,79.0,990.1
2015,12,23,15,413,6.7,79.0,991.1
2015,12,23,16,343,7.0,76.0,992.8
2015,12,23,17,261,6.9,73.0,994.3
2015,12,23,18,242,7.5,70.0,995.5
2015,12,23,19,195,6.5,77.0,996.8
2015,12,23,20,154,6.5,77.0,997.5
2015,12,23,21,95,7.2,73.0,998.2
2015,12,23,22,94,6.8,79.0,999.2
2015,12,23,23,41,6.9,74.0,999.5
2015,12,24,0,41,7.4,73.0,999.7
2015,12,24,1,24,7.5,74.0,999.0
2015,12,24,2,11,6.3,83.0,998.3
2015,12,24,3,15,6.7,83.0,996.5
2015,12,24,4,10,7.5,73.0,994.6
2015,12,24,5,40,8.3,75.0,994.0
2015,12,24,6,81,8.8,75.0,993.0
2015,12,24,7,74,9.0,76.0,992.8
2015,12,24,8,111,8.7,81.0,992.4
2015,12,24,9,157,8.6,82.0,992.3
2015,12,24,10,220,9.2,79.0,991.8
2015,12,24,11,359,8.9,83.0,990.8
2015,12,24,12,334,8.8,85.0,989.2
2015,12,24,13,261,8.8,87.0,988.1
2015,12,24,14,278,8.7,87.0,986.6
2015,12,24,15,292,8.6,88.0,985.5
2015,12,24,16,168,8.6,88.0,984.4
2015,12,24,17,96,8.6,89.0,983.9
2015,12,24,18,62,9.1,85.0,983.9
2015,12,24,19,69,6.4,84.0,984.4
2015,12,24,20,89,6.0,86.0,985.0
2015,12,24,21,173,6.6,83.0,984.7
2015,12,24,22,103,6.3,80.0,985.0
2015,12,24,23,135,5.5,83.0,986.0
2015,12,25,0,56,5.6,78.0,986.7
2015,12,25,1,37,6.4,73.0,987.7
2015,12,25,2,18,6.3,72.0,988.2
2015,12,25,3,18,6.3,73.0,988.2
2015,12,25,4,9,5.7,73.0,988.6
2015,12,25,5,26,6.5,72.0,988.9
2015,12,25,6,29,6.7,65.0,989.1
2015,12,25,7,16,3.9,86.0,989.8
2015,12,25,8,24,5.0,82.0,989.2
2015,12,25,9,57,5.5,85.0,990.3
2015,12,25,10,75,5.5,83.0,992.3
2015,12,25,11,134,5.2,81.0,994.3
2015,12,25,12,173,5.6,76.0,996.5
2015,12,25,13,223,5.5,77.0,998.5
2015,12,25,14,206,5.6,74.0,1000.0
2015,12,25,15,250,4.7,80.0,1001.7
2015,12,25,16,159,3.5,85.0,1002.9
2015,12,25,17,146,3.9,83.0,1003.6
2015,12,25,18,147,3.3,85.0,1004.7
2015,12,25,19,145,3.0,87.0,1005.6
2015,12,25,20,127,3.3,80.0,1005.9
2015,12,25,21,95,1.4,90.0,1006.9
2015,12,25,22,70,1.9,91.0,1007.1
2015,12,25,23,72,1.5,91.0,1007.1
2015,12,26,0,39,2.1,88.0,1007.6
2015,12,26,1,39,2.1,78.0,1007.8
2015,12,26,2,35,2.1,68.0,1008.1
2015,12,26,3,34,1.6,72.0,1008.4
2015,12,26,4,18,1.3,72.0,1008.8
2015,12,26,5,30,0.6,71.0,1009.8
2015,12,26,6,42,0.6,68.0,1010.0
2015,12,26,7,22,0.6,66.0,1010.3
2015,12,26,8,37,0.7,62.0,1011.1
2015,12,26,9,76,0.5,61.0,1012.0
2015,12,26,10,122,0.3,62.0,1012.3
2015,12,26,11,185,0.3,59.0,1012.5
2015,12,26,12,233,0.0,60.0,1012.3
2015,12,26,13,269,-0.2,61.0,1012.5
2015,12,26,14,259,-0.3,60.0,1012.0
2015,12,26,15,226,-0.4,58.0,1012.0
2015,12,26,16,201,-1.0,62.0,1012.0
2015,12,26,17,230,-2.1,73.0,1011.6
2015,12,26,18,207,-2.7,76.0,1011.6
2015,12,26,19,240,-3.1,78.0,1011.1
2015,12,26,20,200,-3.0,75.0,1011.0
2015,12,26,21,128,-3.1,76.0,1010.1
2015,12,26,22,102,-3.3,79.0,1009.5
2015,12,26,23,83,-1.6,70.0,1008.4
2015,12,27,0,68,-2.3,72.0,1006.9
2015,12,27,1,56,-1.1,65.0,1005.6
2015,12,27,2,77,0.4,50.0,1004.4
2015,12,27,3,49,2.3,35.0,1003.4
2015,12,27,4,60,2.1,36.0,1001.9
2015,12,27,5,23,2.6,33.0,1000.9
2015,12,27,6,32,1.9,53.0,1000.0
2015,12,27,7,37,2.3,55.0,1000.5
2015,12,27,8,44,-0.1,87.0,1000.7
2015,12,27,9,85,0.9,82.0,1001.0
2015,12,27,10,112,0.7,80.0,1001.4
2015,12,27,11,182,1.2,83.0,1002.0
2015,12,27,12,164,1.0,84.0,1003.1
2015,12,27,13,220,0.4,91.0,1003.9
2015,12,27,14,236,0.3,92.0,1005.4
2015,12,27,15,222,0.3,93.0,1006.6
2015,12,27,16,206,0.6,93.0,1008.1
2015,12,27,17,178,0.4,93.0,1009.3
2015,12,27,18,206,0.5,93.0,1010.5
2015,12,27,19,212,0.3,93.0,1013.5
2015,12,27,20,152,0.2,93.0,1013.3
2015,12,27,21,94,-0.1,92.0,1014.2
2015,12,27,22,76,-0.4,92.0,1016.0
2015,12,27,23,56,-1.0,93.0,1017.2
2015,12,28,0,42,-1.0,93.0,1018.9
2015,12,28,1,27,1.1,83.0,1019.2
2015,12,28,2,28,1.5,81.0,1019.2
2015,12,28,3,24,0.0,85.0,1020.1
2015,12,28,4,25,-0.8,88.0,1020.4
2015,12,28,5,68,-1.0,90.0,1020.4
2015,12,28,6,181,-0.4,90.0,1020.6
2015,12,28,7,175,1.1,77.0,1021.2
2015,12,28,8,194,2.7,68.0,1021.4
2015,12,28,9,222,3.0,68.0,1021.6
2015,12,28,10,246,2.6,66.0,1021.9
2015,12,28,11,275,2.9,65.0,1022.4
2015,12,28,12,329,3.1,67.0,1021.9
2015,12,28,13,335,2.6,75.0,1021.6
2015,12,28,14,389,1.3,79.0,1020.7
2015,12,28,15,267,0.9,82.0,1020.4
2015,12,28,16,229,0.8,83.0,1019.7
2015,12,28,17,178,0.7,84.0,1019.6
2015,12,28,18,198,0.7,85.0,1018.6
2015,12,28,19,146,1.2,82.0,1018.0
2015,12,28,20,132,3.0,67.0,1017.0
2015,12,28,21,100,4.3,62.0,1017.0
2015,12,28,22,106,6.4,44.0,1016.0
2015,12,28,23,61,4.6,56.0,1016.2
2015,12,29,0,25,4.8,54.0,1015.7
2015,12,29,1,33,3.9,60.0,1014.8
2015,12,29,2,31,3.0,64.0,1014.3
2015,12,29,3,28,6.6,51.0,1013.5
2015,12,29,4,28,9.8,35.0,1013.0
2015,12,29,5,70,10.6,33.0,1012.0
2015,12,29,6,161,10.6,33.0,1011.0
2015,12,29,7,201,9.9,35.0,1011.1
2015,12,29,8,204,10.4,33.0,1011.1
2015,12,29,9,238,10.4,33.0,1010.8
2015,12,29,10,263,11.5,32.0,1010.5
2015,12,29,11,297,11.9,31.0,1010.5
2015,12,29,12,390,11.4,33.0,1011.8
2015,12,29,13,387,10.9,36.0,1012.7
2015,12,29,14,444,10.0,41.0,1013.2
2015,12,29,15,392,9.1,46.0,1014.0
2015,12,29,16,257,8.5,48.0,1013.8
2015,12,29,17,208,8.1,56.0,1014.2
2015,12,29,18,209,6.7,69.0,1015.0
2015,12,29,19,220,6.0,75.0,1014.3
2015,12,29,20,138,7.1,67.0,1014.5
2015,12,29,21,105,8.0,59.0,1013.3
2015,12,29,22,88,8.4,57.0,1012.3
2015,12,29,23,51,8.5,55.0,1012.0
2015,12,30,0,43,8.9,53.0,1011.6
2015,12,30,1,35,9.2,53.0,1010.3
2015,12,30,2,38,9.4,52.0,1010.0
2015,12,30,3,15,9.4,55.0,1008.4
2015,12,30,4,21,9.8,57.0,1006.9
2015,12,30,5,71,10.0,56.0,1006.9
2015,12,30,6,164,10.4,54.0,1006.4
2015,12,30,7,178,10.2,55.0,1005.1
2015,12,30,8,170,10.2,54.0,1005.4
2015,12,30,9,243,10.4,52.0,1003.9
2015,12,30,10,304,10.8,48.0,1003.9
2015,12,30,11,344,10.7,47.0,1002.0
2015,12,30,12,375,11.4,45.0,1001.5
2015,12,30,13,379,11.6,42.0,1001.0
2015,12,30,14,453,11.4,47.0,1000.0
2015,12,30,15,335,11.4,53.0,999.7
2015,12,30,16,279,11.6,57.0,999.2
2015,12,30,17,247,11.0,66.0,999.5
2015,12,30,18,194,10.0,75.0,998.8
2015,12,30,19,194,9.1,83.0,999.4
2015,12,30,20,156,9.1,83.0,999.9
2015,12,30,21,92,8.6,86.0,1000.4
2015,12,30,22,85,8.4,84.0,1000.7
2015,12,30,23,63,7.8,86.0,1001.7
2015,12,31,0,41,7.3,85.0,1002.2
2015,12,31,1,34,7.0,87.0,1002.7
2015,12,31,2,27,6.8,86.0,1002.7
2015,12,31,3,18,6.6,88.0,1002.2
2015,12,31,4,10,7.1,82.0,1001.4
2015,12,31,5,42,6.4,86.0,1000.7
2015,12,31,6,84,6.8,81.0,999.7
2015,12,31,7,73,6.5,83.0,998.7
2015,12,31,8,109,6.4,83.0,998.3
2015,12,31,9,107,6.2,89.0,997.3
2015,12,31,10,202,7.1,79.0,996.3
2015,12,31,11,264,7.8,70.0,995.0
2015,12,31,12,271,8.4,59.0,994.6
2015,12,31,13,252,7.8,63.0,995.1
2015,12,31,14,261,7.7,64.0,996.3
2015,12,31,15,224,7.8,62.0,996.3
2015,12,31,16,218,7.2,67.0,997.5
2015,12,31,17,187,7.4,67.0,998.2
2015,12,31,18,159,6.9,74.0,999.4
2015,12,31,19,158,6.6,83.0,999.9
2015,12,31,20,111,6.7,81.0,1000.9
2015,12,31,21,128,7.1,77.0,1001.4
2015,12,31,22,117,7.4,75.0,1002.2
2015,12,31,23,123,7.4,77.0,1002.6
2016,1,1,0,134,7.7,71.0,1002.9
2016,1,1,1,106,8.1,64.0,1002.7
2016,1,1,2,119,8.5,55.0,1001.0
2016,1,1,3,87,8.4,58.0,1001.9
2016,1,1,4,77,4.7,86.0,1004.7
2016,1,1,5,65,4.1,87.0,1005.2
2016,1,1,6,46,3.8,88.0,1006.6
2016,1,1,7,26,4.3,88.0,1008.1
2016,1,1,8,38,4.8,90.0,1009.6
2016,1,1,9,39,5.0,89.0,1011.0
2016,1,1,10,74,5.0,89.0,1012.5
2016,1,1,11,95,4.7,87.0,1013.3
2016,1,1,12,131,4.6,84.0,1014.2
2016,1,1,13,193,4.9,83.0,1015.2
2016,1,1,14,202,4.9,83.0,1015.9
2016,1,1,15,243,4.5,78.0,1016.5
2016,1,1,16,193,4.9,77.0,1017.2
2016,1,1,17,177,4.5,75.0,1016.9
2016,1,1,18,147,4.1,75.0,1016.9
2016,1,1,19,170,3.9,75.0,1016.7
2016,1,1,20,132,2.5,81.0,1017.2
2016,1,1,21,93,3.0,77.0,1016.9
2016,1,1,22,83,1.6,83.0,1016.5
2016,1,1,23,66,1.3,83.0,1016.5
2016,1,2,0,49,1.4,81.0,1016.4
2016,1,2,1,29,1.1,83.0,1016.4
2016,1,2,2,15,1.3,81.0,1015.9
2016,1,2,3,22,2.3,80.0,1015.4
2016,1,2,4,16,3.0,80.0,1014.8
2016,1,2,5,42,3.1,77.0,1014.5
2016,1,2,6,44,3.1,76.0,1014.2
2016,1,2,7,55,3.4,75.0,1014.3
2016,1,2,8,67,3.5,74.0,1014.7
2016,1,2,9,110,4.0,71.0,1015.0
2016,1,2,10,173,3.7,70.0,1015.0
2016,1,2,11,196,3.4,70.0,1015.4
2016,1,2,12,237,4.5,63.0,1015.7
2016,1,2,13,276,5.3,51.0,1015.5
2016,1,2,14,290,5.0,46.0,1015.2
2016,1,2,15,274,4.2,46.0,1015.2
2016,1,2,16,242,3.9,42.0,1015.0
2016,1,2,17,206,3.6,36.0,1015.4
2016,1,2,18,190,2.9,34.0,1015.5
2016,1,2,19,155,2.2,34.0,1015.2
2016,1,2,20,141,1.6,35.0,1015.0
2016,1,2,21,103,1.6,33.0,1015.0
2016,1,2,22,114,1.7,33.0,1014.7
2016,1,2,23,80,1.3,31.0,1014.7
2016,1,3,0,58,1.1,30.0,1014.7
2016,1,3,1,45,0.6,30.0,1014.8
2016,1,3,2,55,0.2,32.0,1015.0
2016,1,3,3,47,-0.2,33.0,1015.0
2016,1,3,4,22,-0.2,33.0,1014.5
2016,1,3,5,28,-0.3,34.0,1014.0
2016,1,3,6,31,-0.6,34.0,1013.5
2016,1,3,7,40,-0.7,35.0,1012.8
2016,1,3,8,55,-0.9,35.0,1012.3
2016,1,3,9,102,-2.4,47.0,1011.5
2016,1,3,10,109,-1.5,41.0,1010.6
2016,1,3,11,201,-0.3,32.0,1009.5
2016,1,3,12,244,-0.3,35.0,1008.8
2016,1,3,13,319,-0.1,34.0,1007.9
2016,1,3,14,302,-0.1,33.0,1007.1
2016,1,3,15,352,-0.6,35.0,1006.1
2016,1,3,16,302,-1.9,43.0,1005.2
2016,1,3,17,277,-2.2,47.0,1004.4
2016,1,3,18,311,-0.9,36.0,1003.6
2016,1,3,19,207,-2.8,52.0,1003.2
2016,1,3,20,185,-3.5,55.0,1002.7
2016,1,3,21,99,-3.9,58.0,1002.0
2016,1,3,22,88,-4.1,54.0,1001.2
2016,1,3,23,41,-4.0,57.0,1000.7
2016,1,4,0,24,-4.2,53.0,1000.4
2016,1,4,1,16,-4.2,54.0,1000.2
2016,1,4,2,12,-4.6,58.0,999.5
2016,1,4,3,11,-4.6,55.0,999.0
2016,1,4,4,27,-4.1,54.0,998.5
2016,1,4,5,180,-4.9,60.0,997.8
2016,1,4,6,457,-4.6,55.0,998.0
2016,1,4,7,578,-4.3,53.0,997.7
2016,1,4,8,370,-4.9,60.0,998.0
2016,1,4,9,367,-4.9,62.0,997.7
2016,1,4,10,383,-3.9,56.0,997.7
2016,1,4,11,347,-3.4,54.0,997.7
2016,1,4,12,373,-3.6,57.0,997.7
2016,1,4,13,431,-3.4,57.0,997.7
2016,1,4,14,690,-3.4,59.0,997.5
2016,1,4,15,538,-3.5,61.0,997.3
2016,1,4,16,328,-3.9,62.0,997.3
2016,1,4,17,332,-4.5,62.0,997.5
2016,1,4,18,248,-4.4,65.0,997.3
2016,1,4,19,232,-5.0,64.0,997.7
2016,1,4,20,159,-4.9,62.0,998.2
2016,1,4,21,121,-5.3,65.0,998.2
2016,1,4,22,68,-5.2,65.0,998.5
2016,1,4,23,31,-5.2,66.0,998.5
2016,1,5,0,26,-5.6,66.0,998.7
2016,1,5,1,15,-5.6,68.0,998.8
2016,1,5,2,23,-5.8,69.0,998.7
2016,1,5,3,13,-5.5,68.0,998.8
2016,1,5,4,25,-6.0,66.0,998.7
2016,1,5,5,174,-5.9,65.0,998.8
2016,1,5,6,484,-5.5,62.0,999.0
2016,1,5,7,555,-5.6,65.0,999.0
2016,1,5,8,362,-5.3,68.0,999.7
2016,1,5,9,349,-5.1,67.0,1000.2
2016,1,5,10,376,-3.4,63.0,1000.4
2016,1,5,11,384,-3.0,62.0,1000.5
2016,1,5,12,369,-3.7,62.0,1000.7
2016,1,5,13,438,-3.4,58.0,1000.9
2016,1,5,14,649,-3.1,57.0,1000.9
2016,1,5,15,564,-3.4,61.0,1000.9
2016,1,5,16,349,-3.9,62.0,1001.4
2016,1,5,17,299,-4.2,60.0,1001.5
2016,1,5,18,290,-4.2,62.0,1002.0
2016,1,5,19,243,-4.9,64.0,1002.4
2016,1,5,20,172,-4.8,64.0,1002.9
2016,1,5,21,177,-5.0,64.0,1003.4
2016,1,5,22,68,-5.1,65.0,1003.4
2016,1,5,23,44,-4.9,66.0,1003.7
2016,1,6,0,17,-5.0,66.0,1003.9
2016,1,6,1,20,-5.6,68.0,1004.2
2016,1,6,2,20,-5.5,69.0,1004.4
2016,1,6,3,21,-5.4,69.0,1004.4
2016,1,6,4,34,-5.4,70.0,1004.1
2016,1,6,5,152,-5.3,71.0,1003.9
2016,1,6,6,414,-5.5,73.0,1004.2
2016,1,6,7,462,-5.2,75.0,1004.1
2016,1,6,8,323,-5.3,76.0,1004.4
2016,1,6,9,329,-5.8,75.0,1004.7
2016,1,6,10,331,,,
2016,1,6,11,323,-3.8,69.0,1005.1
2016,1,6,12,376,-3.5,63.0,1005.2
2016,1,6,13,398,-2.8,63.0,1005.2
2016,1,6,14,528,-3.0,63.0,1005.2
2016,1,6,15,433,-3.3,61.0,1005.1
2016,1,6,16,301,-3.4,60.0,1004.9
2016,1,6,17,258,-4.3,65.0,1004.7
2016,1,6,18,241,-3.5,58.0,1004.4
2016,1,6,19,181,-3.7,58.0,1003.9
2016,1,6,20,156,-4.9,64.0,1003.6
2016,1,6,21,147,-4.9,67.0,1003.7
2016,1,6,22,99,-5.0,67.0,1003.7
2016,1,6,23,48,-5.2,68.0,1003.6
2016,1,7,0,40,-5.2,65.0,1003.2
2016,1,7,1,34,-5.3,62.0,1002.6
2016,1,7,2,19,-5.8,66.0,1002.0
2016,1,7,3,17,-5.6,64.0,1001.4
2016,1,7,4,33,-6.2,69.0,1001.2
2016,1,7,5,163,-6.0,65.0,1000.9
2016,1,7,6,422,-6.1,64.0,1000.4
2016,1,7,7,503,-5.5,64.0,1000.2
2016,1,7,8,322,,,
2016,1,7,9,324,-5.8,65.0,999.4
2016,1,7,10,343,-5.0,66.0,998.8
2016,1,7,11,342,-4.4,62.0,998.0
2016,1,7,12,326,-4.3,62.0,997.2
2016,1,7,13,413,-3.9,62.0,996.5
2016,1,7,14,539,-3.9,62.0,996.7
2016,1,7,15,427,-4.0,59.0,996.7
2016,1,7,16,266,-4.2,57.0,995.8
2016,1,7,17,283,-4.6,60.0,995.3
2016,1,7,18,211,-5.0,61.0,994.6
2016,1,7,19,189,-5.3,60.0,994.5
2016,1,7,20,170,-4.2,54.0,994.6
2016,1,7,21,118,-5.0,56.0,994.8
2016,1,7,22,70,-6.1,62.0,994.6
2016,1,7,23,56,-4.6,59.0,994.1
2016,1,8,0,24,-5.6,62.0,993.6
2016,1,8,1,32,-5.9,63.0,993.5
2016,1,8,2,38,-5.6,61.0,993.5
2016,1,8,3,19,-6.3,62.0,993.5
2016,1,8,4,33,-5.5,57.0,993.5
2016,1,8,5,172,-6.0,60.0,993.3
2016,1,8,6,386,-5.8,59.0,993.6
2016,1,8,7,479,-5.2,58.0,993.8
2016,1,8,8,353,-5.6,65.0,994.3
2016,1,8,9,342,-5.6,65.0,994.5
2016,1,8,10,351,-5.6,62.0,994.6
2016,1,8,11,341,-5.1,61.0,994.6
2016,1,8,12,371,-4.6,59.0,994.6
2016,1,8,13,449,-4.7,63.0,994.6
2016,1,8,14,555,-4.6,64.0,994.6
2016,1,8,15,448,-4.4,64.0,994.6
2016,1,8,16,264,-5.0,66.0,994.8
2016,1,8,17,171,-5.1,62.0,995.0
2016,1,8,18,188,-5.2,62.0,995.0
2016,1,8,19,138,-6.0,64.0,995.1
2016,1,8,20,139,-5.3,60.0,995.3
2016,1,8,21,112,-5.9,62.0,995.5
2016,1,8,22,93,-5.6,63.0,995.6
2016,1,8,23,91,-5.7,66.0,995.6
2016,1,9,0,67,-6.3,70.0,995.5
2016,1,9,1,54,-6.3,68.0,995.5
2016,1,9,2,57,-6.0,70.0,995.6
2016,1,9,3,37,-6.2,69.0,995.5
2016,1,9,4,18,-6.2,70.0,995.1
2016,1,9,5,43,-5.9,70.0,995.0
2016,1,9,6,52,-6.4,70.0,995.0
2016,1,9,7,62,-6.4,71.0,995.1
2016,1,9,8,97,-6.3,70.0,995.1
2016,1,9,9,158,-6.3,70.0,995.3
2016,1,9,10,211,-5.4,69.0,995.1
2016,1,9,11,290,-4.2,66.0,995.0
2016,1,9,12,304,-3.8,62.0,994.6
2016,1,9,13,319,-3.4,61.0,994.5
2016,1,9,14,345,-2.7,59.0,994.1
2016,1,9,15,300,-2.6,58.0,993.8
2016,1,9,16,292,-1.6,51.0,993.5
2016,1,9,17,271,-0.8,52.0,992.8
2016,1,9,18,295,-1.1,53.0,992.4
2016,1,9,19,182,-0.9,53.0,991.9
